구분,차수,온도
구간 전체,1차,-3.4
구간 전체,1차,-3.3
구간 전체,1차,-3.5
구간 전체,1차,-3.4
구간 전체,1차,-3.5
구간 전체,1차,-3.7
구간 전체,1차,-3.5
구간 전체,1차,-3.4
구간 전체,1차,-3.5
구간 전체,1차,-3.5
구간 전체,1차,-3.5
구간 전체,1차,-3.6
구간 전체,1차,-3.5
구간 전체,1차,-3.6
구간 전체,1차,-3.6
구간 전체,1차,-3.6
구간 전체,1차,-3.5
구간 전체,1차,-3.5
구간 전체,1차,-3.9
구간 전체,1차,-4.2
구간 전체,1차,-4.3
구간 전체,1차,-4.4
구간 전체,1차,-4.4
구간 전체,1차,-4.4
구간 전체,1차,-4.4
구간 전체,1차,-4.4
구간 전체,1차,-4.5
구간 전체,1차,-4.4
구간 전체,1차,-4.4
구간 전체,1차,-4.3
구간 전체,1차,-4.4
구간 전체,1차,-4.4
구간 전체,1차,-4.3
구간 전체,1차,-4.1
구간 전체,1차,-3.8
구간 전체,1차,-3.5
구간 전체,1차,-3.4
구간 전체,1차,-3.5
구간 전체,1차,-3.5
구간 전체,1차,-3.5
구간 전체,1차,-3.5
구간 전체,1차,-3.5
구간 전체,1차,-3.5
구간 전체,1차,-3.5
구간 전체,1차,-3.5
구간 전체,1차,-3.5
구간 전체,1차,-3.4
구간 전체,1차,-3.5
구간 전체,1차,-3.4
구간 전체,2차,-2.7
구간 전체,2차,-2.6
구간 전체,2차,-2.5
구간 전체,2차,-2.5
구간 전체,2차,-2.5
구간 전체,2차,-2.6
구간 전체,2차,-2.6
구간 전체,2차,-2.6
구간 전체,2차,-2.4
구간 전체,2차,-2.6
구간 전체,2차,-2.5
구간 전체,2차,-2.5
구간 전체,2차,-2.6
구간 전체,2차,-2.7
구간 전체,2차,-2.6
구간 전체,2차,-3.0
구간 전체,2차,-3.3
구간 전체,2차,-3.4
구간 전체,2차,-3.5
구간 전체,2차,-3.4
구간 전체,2차,-3.3
구간 전체,2차,-3.4
구간 전체,2차,-3.4
구간 전체,2차,-3.4
구간 전체,2차,-3.4
구간 전체,2차,-3.3
구간 전체,2차,-3.4
구간 전체,2차,-3.4
구간 전체,2차,-3.5
구간 전체,2차,-3.2
구간 전체,2차,-3.4
구간 전체,2차,-3.0
구간 전체,2차,-2.7
구간 전체,2차,-2.7
구간 전체,2차,-2.7
구간 전체,2차,-2.8
구간 전체,2차,-2.8
구간 전체,2차,-2.7
구간 전체,2차,-2.7
구간 전체,2차,-2.7
구간 전체,2차,-2.6
구간 전체,2차,-2.7
구간 전체,2차,-2.7
구간 전체,2차,-2.7
구간 전체,2차,-2.5
구간 전체,2차,-2.8
구간 전체,2차,-2.9
구간 전체,2차,-2.9
구간 전체,2차,-3.1
진입 전,1차,-3.4
진입 전,1차,-3.3
진입 전,1차,-3.5
진입 전,1차,-3.4
진입 전,1차,-3.5
진입 전,1차,-3.7
진입 전,1차,-3.5
진입 전,1차,-3.4
진입 전,1차,-3.5
진입 전,1차,-3.5
진입 전,1차,-3.5
진입 전,1차,-3.6
진입 전,1차,-3.5
진입 전,1차,-3.6
진입 전,1차,-3.6
진입 전,1차,-3.6
진입 전,1차,-3.5
진입 전,1차,-3.5
진입 전,1차,-3.5
진입 전,1차,-3.4
진입 전,1차,-3.5
진입 전,1차,-3.5
진입 전,1차,-3.5
진입 전,1차,-3.5
진입 전,1차,-3.5
진입 전,1차,-3.5
진입 전,1차,-3.5
진입 전,1차,-3.5
진입 전,1차,-3.5
진입 전,1차,-3.4
진입 전,1차,-3.5
진입 전,1차,-3.4
진입 전,2차,-2.7
진입 전,2차,-2.6
진입 전,2차,-2.5
진입 전,2차,-2.5
진입 전,2차,-2.5
진입 전,2차,-2.6
진입 전,2차,-2.6
진입 전,2차,-2.6
진입 전,2차,-2.4
진입 전,2차,-2.6
진입 전,2차,-2.5
진입 전,2차,-2.5
진입 전,2차,-2.6
진입 전,2차,-2.7
진입 전,2차,-2.6
진입 전,2차,-2.7
진입 전,2차,-2.7
진입 전,2차,-2.7
진입 전,2차,-2.8
진입 전,2차,-2.8
진입 전,2차,-2.7
진입 전,2차,-2.7
진입 전,2차,-2.7
진입 전,2차,-2.6
진입 전,2차,-2.7
진입 전,2차,-2.7
진입 전,2차,-2.7
진입 전,2차,-2.5
진입 전,2차,-2.8
진입 전,2차,-2.9
진입 전,2차,-2.9
진입 전,2차,-3.1
급락구간,1차,-3.9
급락구간,1차,-4.2
급락구간,1차,-4.3
급락구간,1차,-4.4
급락구간,1차,-4.4
급락구간,1차,-4.4
급락구간,1차,-4.4
급락구간,1차,-4.4
급락구간,1차,-4.5
급락구간,1차,-4.4
급락구간,1차,-4.4
급락구간,1차,-4.3
급락구간,1차,-4.4
급락구간,1차,-4.4
급락구간,1차,-4.3
급락구간,1차,-4.1
급락구간,1차,-3.8
급락구간,2차,-3.3
급락구간,2차,-3.4
급락구간,2차,-3.5
급락구간,2차,-3.4
급락구간,2차,-3.3
급락구간,2차,-3.4
급락구간,2차,-3.4
급락구간,2차,-3.4
급락구간,2차,-3.4
급락구간,2차,-3.3
급락구간,2차,-3.4
급락구간,2차,-3.4
급락구간,2차,-3.5
급락구간,2차,-3.2
급락구간,2차,-3.4
