기온(1차),기온(2차),노면온도(1차),노면온도(2차)
-0.6,1.3,-3.3,-3
-0.6,1.3,-3.3,-2.9
-0.6,1.3,-3.3,-2.9
-0.6,1.3,-3.3,-2.6
-0.6,1.3,-3.5,-2.8
-0.6,1.3,-3.7,-2.9
-0.6,1.3,-3.7,-2.8
-0.6,1.3,-3.6,-2.8
-0.6,1.3,-3.6,-2.9
-0.6,1.3,-3.6,-2.9
-0.5,1.3,-3.6,-3.2
-0.6,1.3,-3.6,-2.9
-0.5,1.3,-3.6,-2.8
-0.5,1.3,-3.7,-2.8
-0.6,1.3,-3.8,-2.9
-0.5,1.3,-3.8,-2.8
-0.5,1.3,-3.4,-2.8
-0.5,1.3,-3.5,-2.8
-0.5,1.3,-3.5,-2.9
-0.5,1.3,-3.5,-2.8
-0.5,1.3,-3.5,-3
-0.5,1.3,-3.6,-2.9
-0.5,1.3,-3.5,-2.8
-0.5,1.3,-3.6,-3
-0.5,1.3,-3.6,-2.9
-0.5,1.3,-3.5,-3
-0.5,1.3,-3.5,-3
-0.5,1.3,-3.7,-3.1
-0.5,1.3,-3.7,-3.1
-0.5,1.3,-3.6,-3.1
-0.5,1.3,-3.6,-3.1
-0.5,1.3,-3.6,-3.3
-0.5,1.3,-3.5,-3.9
-0.5,1.3,-3.3,-3.8
-0.5,1.3,-3.8,-4
-0.5,1.3,-3.9,-4.1
-0.5,1.3,-3.9,-4
-0.5,1.3,-3.8,-4.1
-0.5,1.3,-4.1,-4
-0.5,1.3,-4,-3.9
-0.5,1.4,-4,-4
-0.5,1.3,-3.9,-4.1
-0.5,1.3,-4.1,-4
-0.5,1.3,-4.1,-4
-0.5,1.3,-3.8,-4.1
-0.5,1.3,-3.9,-4
-0.5,1.3,-3.9,-4
-0.5,1.3,-3.9,-4
-0.5,1.3,-3.9,-4
-0.5,1.4,-3.9,-4
-0.5,1.3,-3.9,-4.1
-0.5,1.3,-3.9,-4.1
-0.5,1.3,-3.9,-4.1
-0.5,1.3,-4,-4.1
-0.5,1.3,-4,-4.2
-0.5,1.3,-4,-4.1
-0.5,1.3,-3.9,-4.1
-0.5,1.3,-3.9,-4.2
-0.5,1.3,-3.9,-4.2
-0.5,1.4,-4,-4.1
-0.5,1.3,-4,-4.2
-0.5,1.3,-3.9,-4.2
-0.5,1.4,-4,-4
-0.5,1.3,-3.9,-4.1
-0.5,1.4,-4,-4.2
-0.5,1.3,-4,-4.1
-0.5,1.3,-4,-4.1
-0.5,1.3,-4,-4.2
-0.5,1.3,-4,-4.1
-0.5,1.3,-4.1,-4
-0.5,1.3,-4.1,-4.2
-0.5,1.3,-4,-4
-0.5,1.3,-4,-4
-0.5,1.3,-4.1,-4
-0.5,1.3,-4.2,-4
-0.5,1.3,-4.2,-4
-0.5,1.3,-4,-4.1
-0.5,1.3,-4.1,-3.9
-0.5,1.3,-4.1,-3.9
-0.5,1.3,-4.1,-4
-0.5,1.3,-4.1,-3.9
-0.5,1.3,-4.1,-3.8
-0.5,1.3,-3.4,-3.7
-0.5,1.3,-3.3,-3.3
-0.5,1.3,-3,-2.9
-0.5,1.3,-2.5,-2.6
-0.5,1.3,-2.2,-2.1
-0.5,1.3,-3,-1.2
