기온(1차),기온(2차),노면온도(1차),노면온도(2차)
-0.9,0.8,-3.7,-2.7
-0.9,0.9,-4,-2.7
-0.9,0.9,-4,-2.3
-0.9,0.9,-3.8,-2.5
-0.9,0.9,-3.8,-2.3
-0.9,0.9,-3.9,-2
-0.9,0.9,-3.9,-2
-0.9,0.9,-3.7,-2.2
-0.9,0.9,-3.7,-2.3
-0.9,0.9,-3.6,-2.1
-0.9,0.9,-3.7,-2.3
-0.9,0.9,-3.6,-2.4
-0.9,0.9,-3.7,-2.3
-0.9,0.9,-3.8,-2.5
-0.9,0.9,-3.9,-2.4
-0.9,0.9,-3.9,-2.3
-0.9,0.9,-3.9,-2.7
-0.9,0.9,-4,-2.6
-0.9,0.9,-3.7,-2.4
-0.9,0.9,-3.8,-2.4
-0.9,0.9,-3.8,-2.4
-0.9,0.9,-4,-2.8
-0.9,0.9,-3.8,-2.7
-0.9,0.9,-3.8,-2.7
-0.9,0.9,-3.7,-2.6
-0.9,0.9,-3.8,-2.5
-0.9,1,-3.8,-2.7
-0.9,0.9,-3.9,-2.8
-0.9,1,-3.9,-2.5
-0.9,0.9,-3.9,-2.6
-0.9,1,-3.8,-2.6
-0.9,1,-3.9,-2.5
-0.9,1,-3.8,-2.6
-0.9,1,-3.8,-2.6
-0.9,1,-3.6,-2.7
-0.9,1,-3.7,-2.7
-0.9,1,-3.6,-2.6
-0.9,1,-3.6,-2.6
-0.9,1,-3.5,-2.5
-0.9,1,-3.6,-2.6
-0.9,1,-3.6,-2.7
-0.8,1,-3.6,-2.6
-0.8,1,-3.3,-2.6
-0.8,1,-3.4,-2.7
-0.8,1,-3.2,-2.6
-0.8,1,-3.3,-2.7
-0.8,0.9,-3.4,-2.9
-0.8,0.9,-3.4,-2.8
-0.8,1,-3.5,-2.8
-0.8,0.9,-3.5,-2.9
-0.8,0.9,-3.4,-2.7
-0.8,0.9,-3.4,-2.8
-0.8,0.9,-3.4,-2.8
-0.8,0.9,-3.3,-2.7
-0.8,0.9,-3.5,-2.7
-0.8,0.9,-3.4,-2.6
-0.8,0.9,-3.5,-2.7
-0.8,0.9,-3.5,-2.7
-0.8,0.9,-3.4,-2.7
