구분,차수,온도
구간 전체,1차,1.4
구간 전체,1차,1.1
구간 전체,1차,1
구간 전체,1차,1.2
구간 전체,1차,0
구간 전체,1차,-0.3
구간 전체,1차,-0.1
구간 전체,1차,-0.1
구간 전체,1차,-0.3
구간 전체,1차,-0.4
구간 전체,1차,-0.4
구간 전체,1차,-0.3
구간 전체,1차,-0.3
구간 전체,1차,-0.2
구간 전체,1차,-0.3
구간 전체,1차,-0.2
구간 전체,1차,-0.1
구간 전체,1차,0.1
구간 전체,1차,-0.2
구간 전체,1차,-0.1
구간 전체,1차,-0.1
구간 전체,1차,0.4
구간 전체,1차,0.4
구간 전체,1차,-0.2
구간 전체,1차,-0.3
구간 전체,1차,-0.2
구간 전체,1차,0.4
구간 전체,1차,0.3
구간 전체,1차,0.8
구간 전체,1차,1.3
구간 전체,1차,1.3
구간 전체,1차,1.2
구간 전체,1차,1.1
구간 전체,1차,1.2
구간 전체,1차,1.1
구간 전체,1차,1.1
구간 전체,1차,1.1
구간 전체,1차,1.3
구간 전체,1차,1.5
구간 전체,1차,1.5
구간 전체,1차,1.4
구간 전체,1차,1.5
구간 전체,1차,1.4
구간 전체,1차,1.3
구간 전체,1차,1
구간 전체,1차,0.9
구간 전체,1차,1
구간 전체,1차,1.3
구간 전체,1차,1.5
구간 전체,1차,1.2
구간 전체,1차,0.9
구간 전체,1차,1.4
구간 전체,1차,1.3
구간 전체,1차,1.3
구간 전체,1차,1.1
구간 전체,1차,1.3
구간 전체,1차,1.4
구간 전체,1차,1.4
구간 전체,1차,1.5
구간 전체,1차,1.5
구간 전체,1차,1.5
구간 전체,1차,1.3
구간 전체,1차,1.1
구간 전체,1차,1.3
구간 전체,1차,1
구간 전체,1차,1.2
구간 전체,1차,1.2
구간 전체,1차,1
구간 전체,1차,1.2
구간 전체,1차,1
구간 전체,1차,0.8
구간 전체,1차,1
구간 전체,1차,1
구간 전체,1차,0.9
구간 전체,1차,0.8
구간 전체,1차,0.7
구간 전체,1차,0.4
구간 전체,1차,0.7
구간 전체,1차,0.6
구간 전체,1차,0.7
구간 전체,1차,0.8
벌교대교,1차,1.7
벌교대교,1차,1.4
벌교대교,1차,1.8
벌교대교,1차,1.4
벌교대교,1차,1.5
벌교대교,1차,1.3
벌교대교,1차,1.1
벌교대교,1차,0.6
벌교대교,1차,0.5
벌교대교,1차,0.3
벌교대교,1차,0.9
벌교대교,1차,0.9
벌교대교,1차,0.7
벌교대교,1차,0.4
벌교대교,1차,0.5
벌교대교,1차,0.3
벌교대교,1차,0.6
벌교대교,1차,0.2
벌교대교,1차,0.3
벌교대교,1차,0.1
벌교대교,1차,0.6
벌교대교,1차,0.3
벌교대교,1차,-0.1
벌교대교,1차,0.3
벌교대교,1차,0.6
벌교대교,1차,0.1
벌교대교,1차,0.3
벌교대교,1차,0.2
벌교대교,1차,0
장양육교,1차,0
장양육교,1차,-0.3
장양육교,1차,-0.1
장양육교,1차,-0.1
장양육교,1차,-0.3
장양육교,1차,-0.4
장양육교,1차,-0.4
장양육교,1차,-0.3
장양육교,1차,-0.3
장양육교,1차,-0.2
장양육교,1차,-0.3
장양육교,1차,-0.2
장양육교,1차,-0.1
장양육교,1차,0.1
장양육교,1차,-0.2
장양육교,1차,-0.1
장양육교,1차,-0.1
장양육교,1차,0.4
장양육교,1차,0.4
장양육교,1차,-0.2
장양육교,1차,-0.3
장양육교,1차,-0.2
장양육교,1차,0.4
장양육교,1차,0.3
구간 전체,2차,-6
구간 전체,2차,-6.3
구간 전체,2차,-6.2
구간 전체,2차,-6.3
구간 전체,2차,-6.3
구간 전체,2차,-6.4
구간 전체,2차,-6.2
구간 전체,2차,-6.1
구간 전체,2차,-6.3
구간 전체,2차,-6
구간 전체,2차,-6
구간 전체,2차,-6.4
구간 전체,2차,-6
구간 전체,2차,-6.5
구간 전체,2차,-6.6
구간 전체,2차,-6.9
구간 전체,2차,-6.5
구간 전체,2차,-6.4
구간 전체,2차,-6.4
구간 전체,2차,-6.4
구간 전체,2차,-6.4
구간 전체,2차,-6.5
구간 전체,2차,-6.6
구간 전체,2차,-6.6
구간 전체,2차,-6.5
구간 전체,2차,-6.4
구간 전체,2차,-6.4
구간 전체,2차,-6.5
구간 전체,2차,-6.7
구간 전체,2차,-6.7
구간 전체,2차,-6.7
구간 전체,2차,-6.4
구간 전체,2차,-6.7
구간 전체,2차,-6.4
구간 전체,2차,-6.8
구간 전체,2차,-6.9
구간 전체,2차,-7.1
구간 전체,2차,-7
구간 전체,2차,-6.9
구간 전체,2차,-7
구간 전체,2차,-6.9
구간 전체,2차,-6.9
구간 전체,2차,-7
구간 전체,2차,-7.1
구간 전체,2차,-7
구간 전체,2차,-7
구간 전체,2차,-6.3
구간 전체,2차,-6.2
구간 전체,2차,-7
구간 전체,2차,-6.3
구간 전체,2차,-6.7
구간 전체,2차,-6.9
구간 전체,2차,-7.1
구간 전체,2차,-6.8
구간 전체,2차,-6.8
구간 전체,2차,-6.4
구간 전체,2차,-6
구간 전체,2차,-6.3
구간 전체,2차,-6.5
구간 전체,2차,-6.5
구간 전체,2차,-6.7
구간 전체,2차,-6.6
구간 전체,2차,-6.3
구간 전체,2차,-6.8
구간 전체,2차,-6.8
구간 전체,2차,-6.8
구간 전체,2차,-6.9
구간 전체,2차,-6.5
구간 전체,2차,-6.8
구간 전체,2차,-6.3
구간 전체,2차,-6.2
구간 전체,2차,-6.4
구간 전체,2차,-6.4
구간 전체,2차,-6.7
구간 전체,2차,-6.6
구간 전체,2차,-6.5
구간 전체,2차,-6.7
구간 전체,2차,-6.8
구간 전체,2차,-6.4
구간 전체,2차,-6.7
구간 전체,2차,-6.7
구간 전체,2차,-6.4
구간 전체,2차,-6.4
구간 전체,2차,-6.6
구간 전체,2차,-6.6
구간 전체,2차,-6.2
구간 전체,2차,-6.8
구간 전체,2차,-6.3
구간 전체,2차,-6.3
구간 전체,2차,-6.4
구간 전체,2차,-6.3
구간 전체,2차,-6.5
