기온,노면온도,humi_,시간,경도,위도
-1.2,-3.4,54,2024-01-24 17:49,127.1230503,34.7739933
-1.2,-3.5,54,2024-01-24 17:49,127.1232172,34.7739863
-1.2,-3.2,53.9,2024-01-24 17:49,127.1232172,34.7739863
-1.2,-3.1,53.9,2024-01-24 17:49,127.1233872,34.7739839
-1.2,-3.2,53.9,2024-01-24 17:49,127.1233872,34.7739839
-1.2,-3.2,53.9,2024-01-24 17:49,127.1235583,34.7739833
-1.2,-2.7,53.9,2024-01-24 17:49,127.1235583,34.7739833
-1.2,-2.9,53.9,2024-01-24 17:49,127.1237292,34.7739824
-1.2,-2.6,53.9,2024-01-24 17:49,127.1237292,34.7739824
-1.2,-3,53.9,2024-01-24 17:49,127.1239011,34.7739816
-1.2,-2.4,53.9,2024-01-24 17:49,127.1239011,34.7739816
-1.2,-2.7,53.9,2024-01-24 17:49,127.1240823,34.7739821
-1.2,-2.3,53.9,2024-01-24 17:49,127.1240823,34.7739821
-1.2,-2.4,53.9,2024-01-24 17:49,127.1242607,34.7739855
-1.3,-1.8,54,2024-01-24 17:49,127.1242607,34.7739855
-1.3,-1.7,54,2024-01-24 17:50,127.1244375,34.7739924
-1.2,-1.7,54,2024-01-24 17:50,127.1244375,34.7739924
-1.3,-1.7,54,2024-01-24 17:50,127.1246216,34.7739982
-1.2,-1.7,54,2024-01-24 17:50,127.1246216,34.7739982
-1.3,-1.5,54,2024-01-24 17:50,127.1248126,34.7740053
-1.3,-1.7,54,2024-01-24 17:50,127.1248126,34.7740053
-1.3,-1.3,54,2024-01-24 17:50,127.1249996,34.7740198
-1.3,-1.4,54.1,2024-01-24 17:50,127.1249996,34.7740198
-1.3,-1.7,54.1,2024-01-24 17:50,127.125186,34.7740386
-1.3,-1.6,54.1,2024-01-24 17:50,127.125186,34.7740386
-1.3,-1.1,54.1,2024-01-24 17:50,127.1253714,34.7740595
-1.3,-1.2,54.1,2024-01-24 17:50,127.1253714,34.7740595
-1.3,-1.1,54.1,2024-01-24 17:50,127.125557,34.7740865
-1.3,-1.6,54.1,2024-01-24 17:50,127.125557,34.7740865
-1.3,-1.4,54.1,2024-01-24 17:50,127.1257405,34.7741192
-1.3,-1.3,54.1,2024-01-24 17:50,127.1257405,34.7741192
-1.3,-1.4,54.1,2024-01-24 17:50,127.1259205,34.7741579
-1.3,-2.1,54.1,2024-01-24 17:50,127.1260984,34.7742053
-1.3,-1.9,54.1,2024-01-24 17:50,127.1260984,34.7742053
-1.3,-2.3,54.1,2024-01-24 17:50,127.1262765,34.7742578
-1.3,-2.2,54.1,2024-01-24 17:50,127.1264502,34.7743154
-1.3,-2.4,54.1,2024-01-24 17:50,127.1264502,34.7743154
-1.3,-2.4,54.1,2024-01-24 17:50,127.1266216,34.7743809
-1.4,-2.2,54.1,2024-01-24 17:50,127.1267928,34.7744537
-1.3,-2.4,54.1,2024-01-24 17:50,127.126955,34.7745344
-1.3,-2.2,54.1,2024-01-24 17:50,127.126955,34.7745344
-1.4,-2.4,54.1,2024-01-24 17:50,127.1271123,34.7746178
-1.3,-2.5,54.1,2024-01-24 17:50,127.1271123,34.7746178
-1.3,-2.5,54.1,2024-01-24 17:50,127.1272678,34.7747027
-1.3,-2.5,54.1,2024-01-24 17:50,127.1274201,34.7747863
-1.4,-2.3,54.1,2024-01-24 17:50,127.1275682,34.7748786
-1.4,-2.1,54.1,2024-01-24 17:50,127.1275682,34.7748786
-1.4,-2.2,54.1,2024-01-24 17:50,127.1277124,34.7749755
-1.4,-2.5,54.1,2024-01-24 17:50,127.1277124,34.7749755
-1.4,-2.3,54.1,2024-01-24 17:50,127.1278524,34.7750735
-1.4,-1.8,54.2,2024-01-24 17:50,127.1279797,34.7751852
-1.4,-2.3,54.2,2024-01-24 17:50,127.1281018,34.7752982
-1.4,-2.5,54.2,2024-01-24 17:50,127.1281018,34.7752982
-1.4,-2.5,54.2,2024-01-24 17:50,127.1282283,34.7754091
-1.4,-2.7,54.3,2024-01-24 17:50,127.1282283,34.7754091
-1.4,-2.1,54.3,2024-01-24 17:50,127.1283472,34.7755191
-1.4,-2,54.3,2024-01-24 17:50,127.1283472,34.7755191
-1.4,-1.6,54.3,2024-01-24 17:50,127.1284676,34.7756304
-1.4,-2.2,54.3,2024-01-24 17:50,127.1284676,34.7756304
-1.4,-2.3,54.3,2024-01-24 17:50,127.1285893,34.7757449
-1.4,-2.4,54.3,2024-01-24 17:50,127.1285893,34.7757449
-1.4,-2.5,54.3,2024-01-24 17:50,127.1287095,34.7758594
-1.4,-2.9,54.3,2024-01-24 17:50,127.1287095,34.7758594
-1.4,-2.7,54.3,2024-01-24 17:50,127.12883,34.7759735
-1.4,-2.7,54.3,2024-01-24 17:50,127.1289515,34.7760852
-1.4,-2.4,54.3,2024-01-24 17:50,127.1289515,34.7760852
-1.4,-2.6,54.4,2024-01-24 17:50,127.1290735,34.7761986
-1.4,-2.2,54.4,2024-01-24 17:50,127.1290735,34.7761986
-1.5,-2.1,54.4,2024-01-24 17:50,127.129195,34.7763147
-1.5,-2.3,54.4,2024-01-24 17:50,127.129195,34.7763147
-1.5,-2,54.4,2024-01-24 17:50,127.1293143,34.7764318
-1.5,-3,54.4,2024-01-24 17:50,127.1293143,34.7764318
-1.5,-2.8,54.4,2024-01-24 17:50,127.1294337,34.7765506
-1.5,-3.1,54.4,2024-01-24 17:50,127.1294337,34.7765506
-1.5,-3.1,54.5,2024-01-24 17:50,127.1295509,34.7766698
-1.5,-2.9,54.5,2024-01-24 17:50,127.1295509,34.7766698
-1.5,-2.7,54.5,2024-01-24 17:50,127.1296688,34.7767897
